Time,Focus,FocusReal,Fcous Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
2.359937,1.259019,1.259018734,2.992609042,0.3660768,0.3660768,0.470305,0.1761659,0.2112657,0.212322,0.1319155,0.1570022,0.1221248,0.1048556,0.1683894
2.360145,1.259019,1.259018734,2.992609042,0.3660768,0.3660768,0.470305,0.1761659,0.2112657,0.212322,0.1319155,0.1570022,0.1221248,0.1106839,0.1784768
2.441314,1.259019,1.259018734,2.992609042,0.376383,0.376383,0.4697919,0.1761659,0.2112657,0.212322,0.1319155,0.1570022,0.1221248,0.1106839,0.1784768
2.441575,1.308086,1.308085982,2.916583096,0.376383,0.376383,0.4697919,0.1795659,0.2085649,0.212322,0.1319155,0.1570022,0.1221248,0.1106839,0.1784768
2.441806,1.308086,1.308085982,2.916583096,0.376383,0.376383,0.4697919,0.1795659,0.2085649,0.203839,0.1345689,0.1570022,0.1221248,0.1106839,0.1784768
2.442017,1.34412,1.344120114,2.863212719,0.376383,0.376383,0.4697919,0.1795659,0.2085649,0.203839,0.1345689,0.1548834,0.1232578,0.1106839,0.1784768
2.442237,1.34412,1.344120114,2.863212719,0.376383,0.376383,0.4697919,0.1795659,0.2085649,0.203839,0.1345689,0.1548834,0.1232578,0.116712,0.180803
2.557976,1.34412,1.344120114,2.863212719,0.3869773,0.3869773,0.4737393,0.1795659,0.2085649,0.203839,0.1345689,0.1548834,0.1232578,0.116712,0.180803
2.558243,1.390895,1.390895273,2.713901155,0.3869773,0.3869773,0.4737393,0.1826636,0.2030539,0.203839,0.1345689,0.1548834,0.1232578,0.116712,0.180803
2.558468,1.390895,1.390895273,2.713901155,0.3869773,0.3869773,0.4737393,0.1826636,0.2030539,0.1954045,0.1364032,0.1548834,0.1232578,0.116712,0.180803
2.558786,1.429498,1.429498281,2.675485442,0.3869773,0.3869773,0.4737393,0.1826636,0.2030539,0.1954045,0.1364032,0.1527778,0.1241395,0.116712,0.180803
2.559023,1.429498,1.429498281,2.675485442,0.3869773,0.3869773,0.4737393,0.1826636,0.2030539,0.1954045,0.1364032,0.1527778,0.1241395,0.1228336,0.1826199
2.642642,1.429498,1.429498281,2.675485442,0.3975768,0.3975768,0.4743193,0.1826636,0.2030539,0.1954045,0.1364032,0.1527778,0.1241395,0.1228336,0.1826199
2.642907,1.474584,1.474583598,2.599066646,0.3975768,0.3975768,0.4743193,0.1855218,0.200133,0.1954045,0.1364032,0.1527778,0.1241395,0.1228336,0.1826199
2.643135,1.474584,1.474583598,2.599066646,0.3975768,0.3975768,0.4743193,0.1855218,0.200133,0.1871805,0.1379804,0.1527778,0.1241395,0.1228336,0.1826199
2.643361,1.515025,1.515025388,2.504531831,0.3975768,0.3975768,0.4743193,0.1855218,0.200133,0.1871805,0.1379804,0.1507249,0.1264607,0.1228336,0.1826199
2.643582,1.515025,1.515025388,2.504531831,0.3975768,0.3975768,0.4743193,0.1855218,0.200133,0.1871805,0.1379804,0.1507249,0.1264607,0.1280319,0.165815
2.791823,1.515025,1.515025388,2.504531831,0.4080262,0.4080262,0.473564,0.1855218,0.200133,0.1871805,0.1379804,0.1507249,0.1264607,0.1280319,0.165815
2.792077,1.560285,1.560284889,2.49362618,0.4080262,0.4080262,0.473564,0.1882726,0.1996968,0.1871805,0.1379804,0.1507249,0.1264607,0.1280319,0.165815
2.792304,1.560285,1.560284889,2.49362618,0.4080262,0.4080262,0.473564,0.1882726,0.1996968,0.1791876,0.1381909,0.1507249,0.1264607,0.1280319,0.165815
2.792518,1.601463,1.601463286,2.362268648,0.4080262,0.4080262,0.473564,0.1882726,0.1996968,0.1791876,0.1381909,0.1487745,0.1299291,0.1280319,0.165815
2.792747,1.601463,1.601463286,2.362268648,0.4080262,0.4080262,0.473564,0.1882726,0.1996968,0.1791876,0.1381909,0.1487745,0.1299291,0.1321028,0.1493752
2.892787,1.601463,1.601463286,2.362268648,0.4170163,0.4170163,0.4826841,0.1882726,0.1996968,0.1791876,0.1381909,0.1487745,0.1299291,0.1321028,0.1493752
2.893032,1.64252,1.642520079,2.298936442,0.4170163,0.4170163,0.4826841,0.1906707,0.1970017,0.1791876,0.1381909,0.1487745,0.1299291,0.1321028,0.1493752
2.893248,1.64252,1.642520079,2.298936442,0.4170163,0.4170163,0.4826841,0.1906707,0.1970017,0.1725648,0.1338793,0.1487745,0.1299291,0.1321028,0.1493752
2.893457,1.701596,1.70159583,2.284751721,0.4170163,0.4170163,0.4826841,0.1906707,0.1970017,0.1725648,0.1338793,0.1461691,0.1303318,0.1321028,0.1493752
