Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
2.596886,2.391993,2.391992757,2.6006714,0.2500905,0.2500905,0.271088,0.3064303,0.2974167,0.1703906,0.1888153,0.1981307,0.1844262,0.1150761,0.09000128
2.597818,2.391993,2.391992757,2.6006714,0.2500905,0.2500905,0.271088,0.3064303,0.2974167,0.1731079,0.1912374,0.1981307,0.1844262,0.1150761,0.09000128
2.598556,2.387102,2.387101986,2.662019354,0.2500905,0.2500905,0.271088,0.3064303,0.2974167,0.1731079,0.1912374,0.1983336,0.1822887,0.1150761,0.09000128
2.599273,2.387102,2.387101986,2.662019354,0.2500905,0.2500905,0.271088,0.3064303,0.2974167,0.1731079,0.1912374,0.1983336,0.1822887,0.1100967,0.09557272
2.721798,2.387102,2.387101986,2.662019354,0.2531035,0.2531035,0.2674393,0.3064303,0.2974167,0.1731079,0.1912374,0.1983336,0.1822887,0.1100967,0.09557272
2.722783,2.372436,2.372436218,2.643810589,0.2531035,0.2531035,0.2674393,0.3054876,0.2963977,0.1731079,0.1912374,0.1983336,0.1822887,0.1100967,0.09557272
2.723737,2.372436,2.372436218,2.643810589,0.2531035,0.2531035,0.2674393,0.3054876,0.2963977,0.1762265,0.1946566,0.1983336,0.1822887,0.1100967,0.09557272
2.724965,2.379359,2.379359055,2.671903944,0.2531035,0.2531035,0.2674393,0.3054876,0.2963977,0.1762265,0.1946566,0.1980449,0.1813278,0.1100967,0.09557272
2.725982,2.379359,2.379359055,2.671903944,0.2531035,0.2531035,0.2674393,0.3054876,0.2963977,0.1762265,0.1946566,0.1980449,0.1813278,0.1057504,0.09531232
2.789972,2.379359,2.379359055,2.671903944,0.2564744,0.2564744,0.2625435,0.3054876,0.2963977,0.1762265,0.1946566,0.1980449,0.1813278,0.1057504,0.09531232
2.790785,2.353291,2.353290649,2.666390215,0.2564744,0.2564744,0.2625435,0.3038095,0.2960918,0.1762265,0.1946566,0.1980449,0.1813278,0.1057504,0.09531232
2.791402,2.353291,2.353290649,2.666390215,0.2564744,0.2564744,0.2625435,0.3038095,0.2960918,0.1794684,0.1983555,0.1980449,0.1813278,0.1057504,0.09531232
2.792095,2.373761,2.373761251,2.684003422,0.2564744,0.2564744,0.2625435,0.3038095,0.2960918,0.1794684,0.1983555,0.1971891,0.1807319,0.1057504,0.09531232
2.792758,2.373761,2.373761251,2.684003422,0.2564744,0.2564744,0.2625435,0.3038095,0.2960918,0.1794684,0.1983555,0.1971891,0.1807319,0.1025596,0.09488075
2.931388,2.373761,2.373761251,2.684003422,0.2594707,0.2594707,0.2622943,0.3038095,0.2960918,0.1794684,0.1983555,0.1971891,0.1807319,0.1025596,0.09488075
2.931761,2.348681,2.348681358,2.649212829,0.2594707,0.2594707,0.2622943,0.3022003,0.2941665,0.1794684,0.1983555,0.1971891,0.1807319,0.1025596,0.09488075
